Sample Name,Target Name,Ct,Concentration,Media
FTA-1-1,N,13.66776848,1,FTA Card
Flock-1-3,N,13.73407936,1,Flocked Swab
FTA-1-1,S,13.8456955,1,FTA Card
ACM-1-4,N,13.88858414,1,ACM
Glass-1-4,N,13.92268848,1,Glass Fiber Filter
ACM-1-4,S,13.98614025,1,ACM
Flock-1-3,S,14.03027344,1,Flocked Swab
Flock-1-4,S,14.05050468,1,Flocked Swab
Glass-1-5,N,14.11906338,1,Glass Fiber Filter
Glass-1-4,S,14.1570673,1,Glass Fiber Filter
Glass-1-5,S,14.22003174,1,Glass Fiber Filter
Flock-1-4,N,14.29890728,1,Flocked Swab
Flock-1-3,ORF1ab,14.51686859,1,Flocked Swab
Glass-1-5,N,14.55771637,1,Glass Fiber Filter
Glass-1-2,N,14.60083675,1,Glass Fiber Filter
Flock-1-4,N,14.64842415,1,Flocked Swab
Glass-1-2,S,14.70701981,1,Glass Fiber Filter
Glass-1-2,N,14.74049187,1,Glass Fiber Filter
Flock-1-4,S,14.76593113,1,Flocked Swab
Glass-1-2,S,14.79611111,1,Glass Fiber Filter
Glass-1-5,S,14.81078434,1,Glass Fiber Filter
ACM-1-4,ORF1ab,14.85276699,1,ACM
Glass-1-4,ORF1ab,14.90033913,1,Glass Fiber Filter
FTA-1-1,ORF1ab,14.99380016,1,FTA Card
Glass-1-5,ORF1ab,15.05438328,1,Glass Fiber Filter
Glass-1-4,N,15.15614319,1,Glass Fiber Filter
Glass-1-4,S,15.29889679,1,Glass Fiber Filter
Glass-1-5,ORF1ab,15.31234169,1,Glass Fiber Filter
RV-1,ORF1ab,15.35424069,1,Viral Supernatant
Flock-1-4,ORF1ab,15.37270737,1,Flocked Swab
Flock-1-4,ORF1ab,15.40130806,1,Flocked Swab
Cotton-1-1,N,15.407547,1,Cotton
ACM-1-3,N,15.42259598,1,ACM
Cotton-1-2,N,15.51471519,1,Cotton
Glass-1-2,ORF1ab,15.52334976,1,Glass Fiber Filter
ACM-1-3,S,15.53403473,1,ACM
ACM-1-1,S,15.53877068,1,ACM
ACM-1-1,N,15.54493904,1,ACM
Cotton-1-2,S,15.57264614,1,Cotton
Glass-1-2,ORF1ab,15.57785225,1,Glass Fiber Filter
ACM-1-1,S,15.65303135,1,ACM
RV-1,N,15.67344761,1,Viral Supernatant
RV-1,S,15.67344761,1,Viral Supernatant
Flock-1-1,ORF1ab,15.68236732,1,Flocked Swab
Cotton-1-1,S,15.69924736,1,Cotton
Cotton-1-2,N,15.70025253,1,Cotton
Glass-1-4,ORF1ab,15.74805641,1,Glass Fiber Filter
ACM-1-1,N,15.78958321,1,ACM
ACM-1-5,N,15.79549885,1,ACM
Cotton-1-2,S,15.88107395,1,Cotton
Flock-1-1,S,15.89866257,1,Flocked Swab
ACM-1-5,S,15.91439819,1,ACM
ACM-1-3,N,15.92209053,1,ACM
Flock-1-3,N,15.93959427,1,Flocked Swab
ACM-1-5,N,15.97305584,1,ACM
Cotton-1-5,N,16.01833916,1,Cotton
ACM-1-3,ORF1ab,16.03156281,1,ACM
Flock-1-1,N,16.06949806,1,Flocked Swab
Flock-1-3,S,16.10969734,1,Flocked Swab
ACM-1-5,S,16.13789368,1,ACM
Cotton-1-5,S,16.16524315,1,Cotton
FTA-1-5,ORF1ab,16.23839569,1,FTA Card
FTA-1-5,N,16.29336929,1,FTA Card
ACM-1-3,S,16.29572105,1,ACM
ACM-1-1,ORF1ab,16.30394554,1,ACM
Cotton-1-2,ORF1ab,16.33794212,1,Cotton
ACM-1-5,ORF1ab,16.34749413,1,ACM
Flock-1-3,ORF1ab,16.35046959,1,Flocked Swab
Flock-1-1,S,16.39942169,1,Flocked Swab
ACM-1-1,ORF1ab,16.49193764,1,ACM
FTA-1-1,N,16.52930641,1,FTA Card
ACM-1-5,ORF1ab,16.6157589,1,ACM
ACM-1-4,N,16.64783287,1,ACM
Cotton-1-2,ORF1ab,16.65122604,1,Cotton
RV-1,N,16.66662407,1,Viral Supernatant
Cotton-1-1,ORF1ab,16.70909691,1,Cotton
FTA-1-1,S,16.73017311,1,FTA Card
Cotton-1-5,N,16.73805618,1,Cotton
ACM-1-3,ORF1ab,16.75192451,1,ACM
ACM-1-4,S,16.80169868,1,ACM
Cotton-1-5,ORF1ab,16.8378849,1,Cotton
Cotton-1-5,S,16.86420059,1,Cotton
FTA-1-5,S,16.98683548,1,FTA Card
Cotton-1-1,N,17.04215431,1,Cotton
FTA-1-1,ORF1ab,17.21427727,1,FTA Card
ACM-1-4,ORF1ab,17.26929665,1,ACM
RV-1,S,17.31568475,1,Viral Supernatant
Cotton-1-1,S,17.35677338,1,Cotton
FTA-1-5,ORF1ab,17.3664856,1,FTA Card
RV-1,ORF1ab,17.42746735,1,Viral Supernatant
FTA-1-2,N,17.60630989,1,FTA Card
FTA-1-5,N,17.63832664,1,FTA Card
Cotton-1-1,ORF1ab,17.79859161,1,Cotton
Cotton-1-5,ORF1ab,17.85221291,1,Cotton
FTA-1-2,S,17.90411949,1,FTA Card
FTA-1-5,S,18.19161987,1,FTA Card
FTA-1-2,N,18.58687782,1,FTA Card
FTA-1-2,ORF1ab,18.73469543,1,FTA Card
FTA-1-2,S,18.73487473,1,FTA Card
FTA-1-2,ORF1ab,19.18609047,1,FTA Card
Flock-1-1,N,Undetermined,1,Flocked Swab
Flock-1-1,ORF1ab,Undetermined,1,Flocked Swab
Cotton-2-3,S,Undetermined,2,Cotton
ACM-2-1,N,15.37703228,2,ACM
ACM-2-1,S,16.11923027,2,ACM
FTA-2-1,N,16.39422989,2,FTA Card
FTA-2-1,S,16.50406456,2,FTA Card
ACM-2-1,ORF1ab,16.56586647,2,ACM
ACM-2-1,N,16.67919731,2,ACM
ACM-2-1,S,16.83114052,2,ACM
FTA-2-1,N,17.19117355,2,FTA Card
FTA-2-1,S,17.22437859,2,FTA Card
FTA-2-3,ORF1ab,17.2983551,2,FTA Card
FTA-2-1,ORF1ab,17.36842155,2,FTA Card
FTA-2-2,N,17.37003517,2,FTA Card
ACM-2-5,N,17.38088226,2,ACM
ACM-2-5,N,17.40207481,2,ACM
FTA-2-3,N,17.42332077,2,FTA Card
ACM-2-5,S,17.44479179,2,ACM
