Sample,Conc,RH,Media,Ptime,Dust,Target,Ct
1,32,40%-60%,ACM,Immediate,No,ORF1ab,Undetermined
1,32,40%-60%,ACM,Immediate,No,ORF1ab,31.01421045
1,32,40%-60%,ACM,Immediate,No,S,29.5514369
1,32,40%-60%,ACM,Immediate,No,N,29.24033992
1,32,40%-60%,ACM,Immediate,No,N,29.06115811
1,32,40%-60%,ACM,Immediate,No,S,28.46507935
2,32,40%-60%,ACM,24,No,ORF1ab,31.27961671
2,32,40%-60%,ACM,24,No,ORF1ab,31.22303622
2,32,40%-60%,ACM,24,No,N,30.46673028
2,32,40%-60%,ACM,24,No,N,29.3489457
2,32,40%-60%,ACM,24,No,S,29.29426951
2,32,40%-60%,ACM,24,No,S,29.21668284
3,32,40%-60%,ACM,Immediate,No,ORF1ab,31.3441511
3,32,40%-60%,ACM,Immediate,No,S,28.52840555
3,32,40%-60%,ACM,Immediate,No,N,23.53527999
4,32,40%-60%,ACM,Immediate,No,ORF1ab,Undetermined
4,32,40%-60%,ACM,Immediate,No,ORF1ab,31.51063509
4,32,40%-60%,ACM,Immediate,No,S,29.8081412
4,32,40%-60%,ACM,Immediate,No,N,29.59419288
4,32,40%-60%,ACM,Immediate,No,N,28.56027866
4,32,40%-60%,ACM,Immediate,No,S,28.3181745
5,32,40%-60%,ACM,48,No,S,31.92694876
5,32,40%-60%,ACM,48,No,ORF1ab,31.77749516
5,32,40%-60%,ACM,48,No,ORF1ab,31.72765224
5,32,40%-60%,ACM,48,No,ORF1ab,31.56147992
5,32,40%-60%,ACM,48,No,S,29.97773801
5,32,40%-60%,ACM,48,No,S,29.82049512
5,32,40%-60%,ACM,48,No,N,28.78437527
5,32,40%-60%,ACM,48,No,N,28.73186429
5,32,40%-60%,ACM,48,No,N,28.68260124
6,32,40%-60%,ACM,Immediate,No,ORF1ab,31.84968843
6,32,40%-60%,ACM,Immediate,No,S,30.0419834
6,32,40%-60%,ACM,Immediate,No,N,29.92175764
7,32,40%-60%,ACM,Immediate,No,ORF1ab,Undetermined
7,32,40%-60%,ACM,Immediate,No,ORF1ab,31.88777701
7,32,40%-60%,ACM,Immediate,No,S,29.17585218
7,32,40%-60%,ACM,Immediate,No,N,29.07591495
7,32,40%-60%,ACM,Immediate,No,N,28.23333232
7,32,40%-60%,ACM,Immediate,No,S,27.74582581
8,32,40%-60%,ACM,72,No,ORF1ab,32.09650233
8,32,40%-60%,ACM,72,No,S,31.18949628
8,32,40%-60%,ACM,72,No,N,29.14281608
9,32,>70%,ACM,Immediate,No,ORF1ab,Undetermined
9,32,>70%,ACM,Immediate,No,ORF1ab,32.2630484
9,32,>70%,ACM,Immediate,No,N,30.41174043
9,32,>70%,ACM,Immediate,No,S,29.31986576
9,32,>70%,ACM,Immediate,No,N,29.22160767
9,32,>70%,ACM,Immediate,No,S,28.21921472
10,32,>70%,ACM,Immediate,No,ORF1ab,32.8019659
10,32,>70%,ACM,Immediate,No,S,29.44564219
10,32,>70%,ACM,Immediate,No,N,29.42167133
11,32,>70%,ACM,24,No,ORF1ab,Undetermined
11,32,>70%,ACM,24,No,ORF1ab,33.00507462
11,32,>70%,ACM,24,No,S,29.98271075
11,32,>70%,ACM,24,No,N,29.8141972
11,32,>70%,ACM,24,No,N,28.81050237
11,32,>70%,ACM,24,No,S,28.59421842
12,32,>70%,ACM,Immediate,No,ORF1ab,33.05576662
12,32,>70%,ACM,Immediate,No,N,31.93357814
12,32,>70%,ACM,Immediate,No,S,29.59604241
13,32,>70%,ACM,48,No,ORF1ab,Undetermined
13,32,>70%,ACM,48,No,ORF1ab,33.11336373
13,32,>70%,ACM,48,No,S,30.50431
13,32,>70%,ACM,48,No,N,30.16987004
13,32,>70%,ACM,48,No,S,29.64162975
13,32,>70%,ACM,48,No,N,29.04850789
14,32,>70%,ACM,Immediate,No,ORF1ab,Undetermined
14,32,>70%,ACM,Immediate,No,ORF1ab,33.16568505
14,32,>70%,ACM,Immediate,No,S,29.69896333
14,32,>70%,ACM,Immediate,No,N,29.11663837
14,32,>70%,ACM,Immediate,No,N,28.68917833
14,32,>70%,ACM,Immediate,No,S,28.35617688
15,32,>70%,ACM,72,No,ORF1ab,Undetermined
15,32,>70%,ACM,72,No,ORF1ab,33.25327148
15,32,>70%,ACM,72,No,S,30.8095703
15,32,>70%,ACM,72,No,S,29.25451423
15,32,>70%,ACM,72,No,N,28.98633606
15,32,>70%,ACM,72,No,N,28.15193869
16,32,>70%,ACM,Immediate,No,N,Undetermined
16,32,>70%,ACM,Immediate,No,ORF1ab,Undetermined
16,32,>70%,ACM,Immediate,No,S,Undetermined
16,32,>70%,ACM,Immediate,No,ORF1ab,33.50690295
16,32,>70%,ACM,Immediate,No,S,29.85603933
16,32,>70%,ACM,Immediate,No,N,29.18474159
17,0.032,40%-60%,Swab,Immediate,Yes,ORF1ab,Undetermined
17,0.032,40%-60%,Swab,Immediate,Yes,ORF1ab,Undetermined
